"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
8,15,"SPP1_CD44",17,15,"SPP1_CD44",1.817,0.863182897862233,2
8,23,"HBEGF_CD44",3,23,"HBEGF_CD44",0.514,0.244180522565321,2
8,23,"HBEGF_CD44",6,23,"HBEGF_CD44",0.273,0.129691211401425,2
8,23,"HBEGF_CD44",11,23,"HBEGF_CD44",0.366,0.173871733966746,2
8,23,"HBEGF_CD44",14,23,"HBEGF_CD44",0.313,0.148693586698337,2
8,23,"HBEGF_CD44",15,23,"HBEGF_CD44",0.663,0.314964370546318,2
8,23,"HBEGF_CD44",16,23,"HBEGF_CD44",0.363,0.172446555819477,2
8,23,"HBEGF_CD44",17,23,"HBEGF_CD44",0.738,0.350593824228028,2
8,16,"aVb6 complex_TGFB1",3,16,"aVb6 complex_TGFB1",0.515,0.244655581947743,2
8,16,"aVb6 complex_TGFB1",5,16,"aVb6 complex_TGFB1",0.628,0.29833729216152,2
8,16,"aVb6 complex_TGFB1",6,16,"aVb6 complex_TGFB1",0.279,0.132541567695962,2
8,16,"aVb6 complex_TGFB1",11,16,"aVb6 complex_TGFB1",0.377,0.179097387173397,2
8,16,"aVb6 complex_TGFB1",14,16,"aVb6 complex_TGFB1",0.444,0.210926365795724,2
8,16,"aVb6 complex_TGFB1",16,16,"aVb6 complex_TGFB1",0.796,0.378147268408551,2
8,16,"aVb6 complex_TGFB1",17,16,"aVb6 complex_TGFB1",0.523,0.248456057007126,2
8,17,"CD74_MIF",1,17,"CD74_MIF",1.106,0.52541567695962,2
8,17,"CD74_MIF",4,17,"CD74_MIF",1.21,0.574821852731591,2
8,17,"CD74_MIF",10,17,"CD74_MIF",0.974,0.46270783847981,2
8,17,"CD74_MIF",12,17,"CD74_MIF",1.061,0.504038004750594,2
9,68,"KITLG_KIT",12,68,"KITLG_KIT",0.602,0.314524555903866,2
9,1,"GAS6_MERTK",4,1,"GAS6_MERTK",0.391,0.204284221525601,2
9,114,"FGF9_FGFR2",7,114,"FGF9_FGFR2",0.279,0.14576802507837,2
9,114,"FGF9_FGFR2",14,114,"FGF9_FGFR2",0.168,0.0877742946708464,2
9,116,"FGFR1_NCAM1",4,116,"FGFR1_NCAM1",0.155,0.0809822361546499,2
9,116,"FGFR1_NCAM1",6,116,"FGFR1_NCAM1",0.292,0.152560083594566,2
9,61,"aVb5 complex_FN1",17,61,"aVb5 complex_FN1",0.285,0.148902821316614,2
9,2,"IGF1R_IGF1",6,2,"IGF1R_IGF1",0.304,0.158829676071055,2
9,119,"FGF9_FGFR3",13,119,"FGF9_FGFR3",0.153,0.0799373040752351,2
9,119,"FGF9_FGFR3",14,119,"FGF9_FGFR3",0.213,0.11128526645768,2
9,119,"FGF9_FGFR3",17,119,"FGF9_FGFR3",0.215,0.112330198537095,2
9,126,"EGF_EGFR",1,126,"EGF_EGFR",1.214,0.634273772204807,2
9,126,"EGF_EGFR",2,126,"EGF_EGFR",1.203,0.628526645768025,2
9,126,"EGF_EGFR",4,126,"EGF_EGFR",1.201,0.62748171368861,2
9,126,"EGF_EGFR",7,126,"EGF_EGFR",1.205,0.62957157784744,2
9,126,"EGF_EGFR",13,126,"EGF_EGFR",1.176,0.614420062695925,2
9,3,"aVb6 complex_TNC",6,3,"aVb6 complex_TNC",0.173,0.0903866248693835,2
